,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff
1608,real oviedo,reus deportiu,10,20,15,15,22,13,6,4,5,3,4,8,19,10,21,22,-2,-12,spain,0,0,1.5,0.5,3,0,A,D,0,0,9,-1,10
1609,elche,albacete,18,5,15,15,15,27,3,6,6,7,6,2,12,21,20,12,-8,9,spain,0,0,2.16,0.66,0,1,H,D,1,1,-9,8,-17
1659,sporting gijon,malaga,14,4,13,13,15,26,3,6,4,8,2,3,12,17,11,10,1,7,spain,0,4,2.0,1.0,2,2,H,L,0,1,-5,1,-6
1663,granada,numancia,1,11,13,13,27,17,8,3,2,4,5,4,20,12,8,15,12,-3,spain,0,0,3.0,1.25,0,0,H,W,1,0,8,-7,15
1706,zaragoza,granada,19,3,11,11,11,23,2,5,4,7,2,2,12,18,13,8,-1,10,spain,0,0,2.0,0.83,0,2,A,L,1,2,-6,5,-11
1713,cadiz,elche,13,14,12,12,14,14,3,5,4,3,5,4,13,12,12,18,1,-6,spain,0,0,2.66,0.33,5,1,H,W,2,1,1,-6,7
1733,valencia,sevilla,11,15,9,9,12,6,2,6,1,2,0,7,10,11,8,20,2,-9,spain,0,0,2.16,0.5,4,1,A,W,2,0,-1,-12,11
1805,tenerife,albacete,17,5,13,13,13,21,2,7,4,5,6,2,11,19,16,12,-5,7,spain,0,0,2.33,0.83,0,0,H,D,0,0,-8,4,-12
1814,lugo,alcorcon,15,3,12,12,13,24,3,4,5,7,3,2,11,15,13,6,-2,9,spain,0,0,2.16,0.83,0,1,H,W,2,1,-4,7,-11
1861,real oviedo,mallorca,9,7,12,12,16,17,4,4,4,4,5,3,14,14,16,12,-2,2,spain,0,0,1.4,0.8,1,1,A,L,0,1,0,4,-4
1870,las palmas,deportivo la coruna,4,3,12,12,22,22,6,4,2,6,4,2,17,18,9,9,8,9,spain,0,0,3.5,1.83,1,1,A,D,1,1,-1,0,-1
1905,espanyol,fc barcelona,9,1,14,14,21,28,6,3,5,8,4,2,17,37,16,19,1,18,spain,0,4,3.0,0.83,0,4,H,D,1,1,-20,-3,-17
1914,fc barcelona,villarreal,2,17,13,13,25,14,7,4,2,3,5,5,35,13,19,14,16,-1,spain,4,4,3.66,1.33,2,0,H,W,5,1,22,5,17
1936,leganes,sevilla,16,3,16,16,18,31,4,6,6,9,4,3,15,29,19,16,-4,13,spain,0,0,2.83,1.16,1,1,H,W,2,1,-14,3,-17
1937,atletico madrid,espanyol,3,12,16,16,31,21,8,7,1,6,3,7,24,18,12,23,12,-5,spain,0,0,1.5,0.5,1,0,H,L,0,2,6,-11,17
1938,valladolid,atletico madrid,12,3,15,15,20,28,5,5,5,7,7,1,13,21,15,10,-2,11,spain,3,6,3.16,1.33,2,3,A,L,0,3,-8,5,-13
1965,real betis,rayo vallecano,11,19,14,14,19,10,5,4,5,2,4,8,14,15,17,28,-3,-13,spain,0,0,3.33,1.5,2,0,H,D,2,2,-1,-11,10
1991,real betis,eibar,7,13,16,16,25,20,7,4,5,5,5,6,19,20,18,24,1,-4,spain,0,0,3.16,1.5,1,1,H,W,2,0,-1,-6,5
1995,eibar,valencia,14,15,15,15,19,18,5,4,6,3,9,3,19,12,23,12,-4,0,spain,0,0,2.33,1.0,1,1,A,D,0,0,7,11,-4
1999,valencia,sevilla,14,2,14,14,17,27,3,8,3,8,3,3,11,26,11,15,0,11,spain,0,0,2.16,0.5,1,1,A,W,2,0,-15,-4,-11
2000,levante,athletic bilbao,11,18,13,13,18,11,5,3,5,1,8,4,20,14,21,20,-1,-6,spain,0,4,3.0,1.0,3,0,A,W,3,1,6,1,5
2017,valladolid,leganes,14,16,14,14,17,16,4,5,5,4,4,6,10,12,12,17,-2,-5,spain,0,0,2.16,1.16,2,4,A,L,0,1,-2,-5,3
2026,celta de vigo,leganes,11,16,15,15,20,17,5,5,5,4,5,6,28,15,24,19,4,-4,spain,0,0,1.25,0.5,0,0,A,L,0,1,13,5,8
2027,athletic bilbao,girona,18,9,14,14,11,21,1,8,5,5,6,3,14,17,23,16,-9,1,spain,0,0,2.0,1.0,1,0,A,L,0,2,-3,7,-10
2028,eibar,levante,12,7,14,14,18,21,5,3,6,6,3,5,15,23,19,21,-4,2,spain,0,0,3.66,1.16,4,4,A,L,1,2,-8,-2,-6
2039,girona,getafe,10,7,16,16,21,24,5,6,5,6,6,4,17,17,19,12,-2,5,spain,0,0,3.0,2.0,1,1,A,D,1,1,0,7,-7
2058,getafe,real sociedad,9,13,15,15,21,19,5,6,4,5,4,6,16,18,12,18,4,0,spain,0,4,2.5,0.83,1,0,A,W,2,1,-2,-6,4
2063,real sociedad,valladolid,11,15,14,14,19,17,5,4,5,4,5,5,17,11,16,14,1,-3,spain,0,0,3.33,1.83,1,2,H,D,1,1,6,2,4
2073,real betis,real sociedad,10,9,14,14,19,19,5,4,5,5,4,5,14,17,17,16,-3,1,spain,0,0,3.0,1.66,1,0,H,D,0,0,-3,1,-4
2074,getafe,espanyol,7,6,14,14,20,21,5,5,4,6,3,5,15,17,11,16,4,1,spain,3,4,2.16,0.83,3,0,H,W,3,0,-2,-5,3
2077,rayo vallecano,levante,19,9,16,16,10,22,2,4,10,6,4,6,15,27,31,30,-16,-3,spain,0,4,3.16,2.0,2,1,H,W,2,1,-12,1,-13
2084,villarreal,celta,17,13,14,14,14,17,3,5,6,4,5,5,13,25,16,22,-3,3,spain,3,4,2.5,1.66,2,3,H,W,4,1,-12,-6,-6
2122,espanyol,real betis,12,8,15,15,21,22,6,3,6,6,4,5,17,16,20,17,-3,-1,spain,3,4,2.5,0.66,1,3,A,L,0,3,1,3,-2
2156,malaga,cadiz,4,6,17,17,32,29,10,2,5,8,5,4,21,24,13,14,8,10,spain,0,0,1.83,0.66,1,0,H,D,0,0,-3,-1,-2
2187,tenerife,granada,17,1,18,18,18,37,3,9,6,11,4,3,15,26,22,12,-7,14,spain,0,0,3.5,1.75,1,1,A,L,1,2,-11,10,-21
2245,leganes,getafe,16,9,14,14,16,20,4,4,6,5,5,4,14,15,18,11,-4,4,spain,0,0,1.5,0.5,1,1,A,D,0,0,-1,7,-8
2276,reus deportiu,osasuna,21,8,18,18,17,29,4,5,9,8,5,5,12,23,25,19,-13,4,spain,0,0,1.0,0.0,0,1,A,W,2,1,-11,6,-17
2289,granada,real oviedo,2,11,17,17,34,23,10,4,3,6,5,6,25,20,12,23,13,-3,spain,0,0,2.5,1.5,1,0,A,L,1,2,5,-11,16
2328,cadiz,deportivo la coruna,7,2,18,18,29,35,8,5,5,9,8,1,24,31,15,13,9,18,spain,0,0,1.5,0.5,3,0,H,D,1,1,-7,2,-9
2344,deportivo la coruna,zaragoza,5,20,17,17,32,16,8,8,1,3,7,7,28,17,12,21,16,-4,spain,0,0,3.33,1.66,3,1,A,L,1,2,11,-9,20
2373,deportivo la coruna,numancia,2,13,16,16,31,20,8,7,1,5,5,6,26,16,10,18,16,-2,spain,0,4,3.0,1.66,2,2,A,L,1,2,10,-8,18
2398,malaga,granada,4,2,16,16,29,31,9,2,5,9,4,3,19,24,12,12,7,12,spain,0,0,1.66,0.33,0,1,H,L,0,1,-5,0,-5
2421,alcorcon,numancia,5,14,18,18,33,21,10,3,5,5,6,7,21,19,11,22,10,-3,spain,0,0,2.16,1.16,1,1,H,L,0,1,2,-11,13
2453,sporting gijon,mallorca,12,7,17,17,22,27,5,7,5,7,6,4,17,23,15,16,2,7,spain,0,4,2.66,1.0,1,0,H,W,1,0,-6,-1,-5
2454,numancia,albacete,13,5,17,17,21,31,5,6,6,8,7,2,18,25,20,15,-2,10,spain,0,4,2.33,0.83,1,2,A,L,0,1,-7,5,-12
2528,cordoba,elche,21,14,16,16,11,18,2,5,9,4,6,6,17,13,33,20,-16,-7,spain,3,0,2.83,1.33,1,1,A,W,4,1,4,13,-9
2588,cordoba,las palmas,21,10,19,19,15,25,2,9,8,5,10,4,19,23,34,21,-15,2,spain,0,0,2.33,0.66,4,1,A,D,1,1,-4,13,-17
2602,lugo,sporting gijon,14,9,18,18,20,25,5,5,8,6,7,5,18,18,20,15,-2,3,spain,0,5,3.0,1.5,0,0,H,W,3,1,0,5,-5
2615,atletico-madrid-ii,pontevedra-cf,6,5,17,17,25,29,6,7,4,8,5,4,24,20,20,16,4,4,spain,0,-6,1.83,0.0,2,0,H,L,0,2,4,4,0
2635,club-deportivo-badajoz,union-deportiva-melilla,14,1,16,16,20,37,5,5,6,11,4,1,13,24,19,10,-6,14,spain,0,-4,1.5,0.0,1,0,H,D,0,0,-11,9,-20
2638,reus deportiu,cordoba,20,21,17,17,16,13,4,4,9,2,7,8,11,18,24,33,-13,-15,spain,0,4,3.0,1.0,1,1,H,L,1,2,-7,-9,2
2682,alcorcon,reus deportiu,2,19,17,17,33,16,10,3,4,4,4,9,20,11,9,24,11,-13,spain,0,0,1.4,0.8,0,1,H,L,0,1,9,-15,24
2764,sevilla,real sociedad,7,12,38,38,58,49,17,7,14,14,7,17,49,66,58,59,-9,7,spain,0,0,2.66,1.16,1,0,A,L,0,1,-17,-1,-16
2767,villarreal,real madrid,5,3,38,38,61,76,18,7,13,22,10,6,57,94,50,44,7,50,spain,0,0,2.33,0.5,2,2,A,W,1,0,-37,6,-43
2768,getafe,atletico madrid,8,2,38,38,55,79,15,10,13,23,10,5,42,58,33,22,9,36,spain,0,5,1.33,1.0,0,1,A,L,0,2,-16,11,-27
2776,real madrid,celta,3,13,38,38,76,49,22,10,6,13,10,15,94,59,44,60,50,-1,spain,0,0,4.5,1.0,6,0,H,D,2,2,35,-16,51
2777,sevilla,real madrid,7,3,38,38,58,76,17,7,14,22,10,6,49,94,58,44,-9,50,spain,5,4,4.5,2.16,3,2,H,W,5,0,-45,14,-59
2778,fc barcelona,villarreal,1,5,38,38,93,61,28,9,1,18,7,13,99,57,29,50,70,7,spain,0,4,3.33,1.16,5,1,A,W,2,0,42,-21,63
2785,fc barcelona,real madrid,1,3,38,38,93,76,28,9,1,22,10,6,99,94,29,44,70,50,spain,3,0,3.5,1.33,2,2,H,L,0,3,5,-15,20
2799,cadiz,zaragoza,9,3,42,42,64,71,16,16,10,20,11,11,42,57,29,44,13,13,spain,0,0,2.6,1.0,2,0,A,W,2,0,-15,-15,0
2815,valladolid,osasuna,5,8,42,42,67,64,19,10,13,16,16,10,69,44,55,34,14,10,spain,0,4,2.16,1.16,2,0,H,W,4,2,25,21,4
2817,sporting gijon,granada,4,10,42,42,71,61,21,8,13,17,10,15,60,55,40,50,20,5,spain,0,0,3.0,0.83,2,1,A,L,1,2,5,-10,15
2826,athletic bilbao,espanyol,16,11,38,38,43,49,10,13,15,12,13,13,41,36,49,42,-8,-6,spain,0,0,1.83,1.16,0,1,A,D,1,1,5,7,-2
2841,atletico madrid,espanyol,2,11,38,38,79,49,23,10,5,12,13,13,58,36,22,42,36,-6,spain,0,0,1.16,0.5,0,2,A,L,0,1,22,-20,42
2843,athletic bilbao,real betis,16,6,38,38,43,60,10,13,15,18,6,14,41,60,49,61,-8,-1,spain,0,4,2.66,1.16,2,0,H,L,0,2,-19,-12,-7
2855,lugo,almeria,12,18,42,42,55,48,15,10,17,12,12,18,39,38,48,45,-9,-7,spain,0,0,2.5,0.5,1,1,A,L,0,1,1,3,-2
2867,leganes,real betis,17,6,38,38,43,60,12,7,19,18,6,14,34,60,51,61,-17,-1,spain,0,0,3.2,1.4,3,2,H,W,3,2,-26,-10,-16
2868,celta,levante,13,15,38,38,49,46,13,10,15,11,13,14,59,44,60,58,-1,-14,spain,0,6,2.66,1.0,4,2,A,W,1,0,15,2,13
2874,levante,fc barcelona,15,1,38,38,46,93,11,13,14,28,9,1,44,99,58,29,-14,70,spain,3,6,4.33,1.66,5,4,A,L,0,3,-55,29,-84
2876,real betis,sevilla,6,7,38,38,60,58,18,6,14,17,7,14,60,49,61,58,-1,-9,spain,0,5,3.33,1.33,2,2,A,W,5,3,11,3,8
2885,villarreal,valencia,5,4,38,38,61,73,18,7,13,22,7,9,57,65,50,38,7,27,spain,0,4,1.66,1.0,1,0,A,W,1,0,-8,12,-20
2906,zaragoza,valladolid,3,5,42,42,71,67,20,11,11,19,10,13,57,69,44,55,13,14,spain,0,0,2.5,1.83,3,2,A,L,2,3,-12,-11,-1
2940,girona,eibar,10,9,38,38,51,51,14,9,15,14,9,15,50,44,59,50,-9,-6,spain,3,0,3.5,0.83,1,4,A,W,4,1,6,9,-3
2970,granada,cadiz,10,9,42,42,61,64,17,10,15,16,16,10,55,42,50,29,5,13,spain,0,0,4.0,0.33,2,1,H,W,1,0,13,21,-8
2991,numancia,osasuna,6,8,42,42,65,64,18,11,13,16,16,10,52,44,41,34,11,10,spain,0,0,2.83,1.5,1,1,H,D,2,2,8,7,1
3015,zaragoza,sporting gijon,3,4,42,42,71,71,20,11,11,21,8,13,57,60,44,40,13,20,spain,0,0,2.83,1.16,2,1,A,L,1,2,-3,4,-7
3114,osasuna,real oviedo,8,7,42,42,64,65,16,16,10,18,11,13,44,54,34,48,10,6,spain,0,0,2.0,0.66,2,1,H,W,1,0,-10,-14,4
3115,reus deportiu,tenerife,14,11,42,42,52,59,12,16,14,15,14,13,31,58,42,50,-11,8,spain,3,0,1.33,0.66,1,1,A,L,0,3,-27,-8,-19
3260,valladolid,albacete,5,17,42,42,67,49,19,10,13,11,16,15,69,35,55,46,14,-11,spain,0,0,2.5,1.5,3,2,H,W,2,1,34,9,25
3625,girona,real madrid,13,6,1,1,1,3,0,1,0,1,0,0,0,2,0,0,0,2,spain,3,0,6.0,1.5,1,4,H,W,6,3,-2,0,-2
3630,celta,espanyol,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,0,0,2.66,1.83,1,1,H,D,2,2,0,0,0
3635,valencia,atletico madrid,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,0,5,2.16,0.83,1,1,H,W,1,0,0,0,0
3639,real madrid,getafe,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,0,6,5.16,2.5,2,0,H,W,3,1,0,0,0
3644,villarreal,real sociedad,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,0,0,3.16,2.5,1,2,A,L,2,4,0,0,0
3648,villarreal,girona,13,16,2,2,1,1,0,1,1,0,1,1,1,1,2,4,-1,-3,spain,0,0,3.0,1.25,0,1,A,W,2,0,0,-2,2
3666,leganes,real sociedad,14,6,1,1,0,3,0,0,1,1,0,0,1,2,2,1,-1,1,spain,0,0,2.5,1.25,2,2,H,W,3,2,-1,1,-2
3672,eibar,real sociedad,19,6,2,2,0,4,0,0,2,1,1,0,1,4,4,3,-3,1,spain,0,0,2.66,1.33,2,1,A,D,0,0,-3,1,-4
3706,getafe,eibar,17,16,1,1,0,0,0,0,1,0,0,1,0,1,2,2,-2,-1,spain,0,0,2.0,1.33,2,0,H,L,0,1,-1,0,-1
3857,cordoba,numancia,3,21,1,1,3,0,1,0,0,0,0,1,1,0,0,1,1,-1,spain,0,-4,2.33,1.83,3,3,A,L,1,2,1,-1,2
4037,numancia,cadiz,7,5,1,1,1,3,0,1,0,1,0,0,3,1,3,0,0,1,spain,0,4,2.5,0.66,1,1,A,L,0,1,2,3,-1
4176,leganes,fc barcelona,20,1,5,5,1,13,0,1,4,4,1,0,4,16,10,5,-6,11,spain,0,4,4.0,1.75,2,1,H,W,3,1,-12,5,-17
4183,atletico madrid,eibar,10,15,3,3,4,3,1,1,1,1,0,2,2,3,3,5,-1,-2,spain,0,4,2.5,0.83,1,1,A,D,2,2,-1,-2,1
4188,real madrid,espanyol,2,5,5,5,11,8,3,2,0,2,2,1,11,5,3,3,8,2,spain,0,5,3.16,1.83,1,0,H,L,0,1,6,0,6
4191,real sociedad,fc barcelona,4,1,4,4,7,9,2,1,1,3,0,1,6,12,5,3,1,9,spain,0,5,3.66,1.66,1,2,H,W,1,0,-6,2,-8
4195,sevilla,real madrid,9,2,5,5,7,13,2,1,2,4,1,0,10,12,6,3,4,9,spain,0,0,4.5,2.16,3,0,H,W,3,2,-2,3,-5
4208,athletic bilbao,real madrid,4,2,3,4,5,10,1,2,0,3,1,0,4,10,3,2,1,8,spain,0,4,2.83,1.5,1,1,A,D,1,1,-6,1,-7
4210,fc barcelona,athletic bilbao,1,15,6,5,13,6,4,1,1,1,3,1,17,7,7,9,10,-2,spain,0,5,2.5,1.5,1,1,H,W,2,0,10,-2,12
4218,real madrid,leganes,1,15,2,2,6,1,2,0,0,0,1,1,6,3,1,4,5,-1,spain,0,5,3.33,2.16,4,1,A,L,1,2,3,-3,6
4230,sevilla,getafe,8,10,3,3,4,4,1,1,1,1,1,1,4,2,2,2,2,0,spain,0,0,2.5,0.66,0,2,H,D,1,1,2,0,2
4234,celta,atletico madrid,7,8,2,2,4,4,1,1,0,1,1,0,3,2,2,1,1,1,spain,3,5,3.33,1.0,2,0,A,L,0,3,1,1,0
4236,real betis,leganes,9,20,6,6,9,4,2,3,1,1,1,4,4,6,5,11,-1,-5,spain,0,4,3.5,1.5,1,0,A,L,2,3,-2,-6,4
4237,girona,real betis,12,8,6,6,8,9,2,2,2,2,3,1,7,4,9,5,-2,-1,spain,0,5,2.33,0.83,0,1,H,L,0,1,3,4,-1
4240,fc barcelona,girona,2,11,4,4,12,7,4,0,0,2,1,1,14,5,3,6,11,-1,spain,5,0,5.0,3.0,2,2,A,L,1,6,9,-3,12
4244,deportivo la coruna,granada,10,4,5,5,8,11,2,2,1,3,2,0,5,9,4,2,1,7,spain,0,-4,2.0,1.0,2,1,H,D,0,0,-4,2,-6
4247,villarreal,valencia,15,17,4,4,4,3,1,1,2,0,3,1,2,3,3,5,-1,-2,spain,0,5,1.83,1.0,0,0,H,W,1,0,-1,-2,1
4250,valencia,real betis,17,14,3,3,2,4,0,2,1,1,1,1,3,1,5,3,-2,-2,spain,0,0,2.83,0.66,0,0,H,W,2,0,2,2,0
4254,eibar,sevilla,13,6,6,6,7,10,2,1,3,3,1,2,5,13,7,6,-2,7,spain,4,0,2.66,1.33,1,3,H,W,5,1,-8,1,-9
4255,valencia,celta,15,7,6,6,5,9,0,5,1,2,3,1,4,11,6,9,-2,2,spain,0,0,3.33,1.16,1,1,H,D,1,1,-7,-3,-4
4256,athletic bilbao,villarreal,14,7,5,6,6,8,1,3,1,2,2,2,7,5,9,3,-2,2,spain,3,0,2.33,0.66,0,3,H,L,0,3,2,6,-4
4262,rayo vallecano,espanyol,17,5,6,7,5,11,1,2,3,3,2,2,7,8,14,6,-7,2,spain,0,-6,2.66,0.0,2,2,H,D,1,1,-1,8,-9
4264,valladolid,levante,14,17,6,6,6,4,1,3,2,1,1,4,5,9,6,13,-1,-4,spain,0,0,3.16,1.5,2,1,H,W,2,1,-4,-7,3
4267,levante,sevilla,13,14,4,4,4,4,1,1,2,1,1,2,6,4,5,4,1,0,spain,0,0,2.33,1.16,2,6,H,W,2,1,2,1,1
4273,villarreal,valladolid,11,8,7,7,8,9,2,2,3,2,3,2,5,6,4,6,1,0,spain,0,0,1.83,0.83,0,1,H,L,0,1,-1,-2,1
4287,real betis,sevilla,18,4,2,2,1,4,0,1,1,1,1,0,0,4,3,1,-3,3,spain,0,4,3.66,1.33,1,0,A,D,2,2,-4,2,-6
4293,real betis,athletic bilbao,12,11,4,3,5,5,1,2,1,1,2,0,1,5,3,4,-2,1,spain,0,5,2.66,1.0,2,2,A,L,0,2,-4,-1,-3
4321,huesca,rayo vallecano,14,20,3,2,4,0,1,1,1,0,0,2,6,1,11,5,-5,-4,spain,3,0,3.5,1.66,0,1,H,L,0,3,5,6,-1
4325,levante,valencia,12,16,2,2,3,1,1,0,1,0,1,1,4,1,2,3,2,-2,spain,0,0,2.66,1.0,2,2,A,L,1,3,3,-1,4
4334,albacete,zaragoza,1,10,7,7,15,8,4,3,0,2,2,3,13,9,6,8,7,1,spain,3,4,3.0,1.83,2,2,A,L,1,4,4,-2,6
4349,espanyol,levante,9,7,3,3,4,4,1,1,1,1,1,1,4,6,3,4,1,2,spain,0,0,2.16,1.33,1,0,H,D,1,1,-2,-1,-1
4363,real sociedad,valencia,10,16,6,6,8,5,2,2,2,0,5,1,9,4,9,6,0,-2,spain,0,4,3.5,1.33,0,1,A,L,1,2,5,3,2
4435,espanyol,eibar,8,11,5,5,7,7,2,1,2,2,1,2,5,5,4,6,1,-1,spain,0,0,3.66,1.83,1,0,H,L,0,1,0,-2,2
4625,cadiz,real oviedo,5,4,3,3,5,5,1,2,0,1,2,0,2,5,1,3,1,2,spain,0,4,2.0,0.66,1,1,A,L,1,2,-3,-2,-1
4648,tenerife,cadiz,13,17,7,7,7,6,1,4,2,1,3,3,6,4,7,7,-1,-3,spain,0,0,1.66,0.5,1,0,H,L,1,2,2,0,2
4683,mallorca,albacete,4,5,5,5,10,9,3,1,1,2,3,0,4,8,2,4,2,4,spain,0,0,2.33,0.83,1,3,A,L,0,1,-4,-2,-2
